GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS690675432	2018-12-29 10:57:59.0	7130	species	Green Heron	Butorides virescens			1				United States	US	Idaho	US-ID	Ada	US-ID-001		9			US-ID-Garden City-5610 N Glenwood St - 43.6595x-116.2788	L5694814	P	43.659518	-116.278799	1981-12-19		obsr764116	S51047713	Historical	P62	EBIRD				4	0		0	0	0			Small heron,  thinner and shorter than Black-crowned Night-Heron, reddish neck with dark head, otherwise darker overall. Submitted in Boise 1981 CBC data.	
URN:CornellLabOfOrnithology:EBIRD:OBS691651522	2018-12-31 14:05:52.0	29964	species	Pine Grosbeak	Pinicola enucleator			X				United States	US	Idaho	US-ID	Ada	US-ID-001		9			Boise	L143030	T	43.6134911	-116.203949	1982-01-01		obsr269548	S51124885	Historical	P62	EBIRD					0		0	0	0		Specific Location not Recorded (Life List Record)	Sorry no details -- this is in my life list records	
URN:CornellLabOfOrnithology:EBIRD:OBS691940186	2019-01-01 09:05:45.0	31756	species	Yellow Warbler	Setophaga petechia			X				United States	US	Idaho	US-ID	Ada	US-ID-001	US-ID_538	9			Lucky Peak	L38	H	43.616669	-116.050003	1982-05-16		obsr269548	S51150252	Historical	P62	EBIRD					0		0	0	0		Specific Location not Recorded (Life List Record)	No details. Not sure why not on this list. This is from my Life List Records	
URN:CornellLabOfOrnithology:EBIRD:OBS691644843	2018-12-31 13:49:04.0	5848	species	Baird's Sandpiper	Calidris bairdii			X				United States	US	Idaho	US-ID	Ada	US-ID-001	US-ID_536	9			Blacks Creek Bird Reserve	L249812	H	43.4584433	-116.1426544	1983-05-17		obsr269548	S51124339	Historical	P62	EBIRD					0		0	0	0		(Life List Records)	Sorry -- no details just on my historic life list records.	
URN:CornellLabOfOrnithology:EBIRD:OBS691775016	2018-12-31 18:45:22.0	5856	species	Pectoral Sandpiper	Calidris melanotos			X				United States	US	Idaho	US-ID	Ada	US-ID-001		9			Hubbard Recreation Area	L384111	H	43.5145	-116.3565	1983-11-05		obsr269548	S51135896	Historical	P62	EBIRD					0		0	0	0			No details. From my life list records	
URN:CornellLabOfOrnithology:EBIRD:OBS682098936	2018-12-02 13:54:20.0	31536	species	Common Grackle	Quiscalus quiscula			1				United States	US	Idaho	US-ID	Ada	US-ID-001	US-ID_539	9			Boise River at Americana Boulevard	L1055579	H	43.6151064	-116.2216616	1985-05-15		obsr764116	S50371363	Historical	P62	EBIRD					0		0	0	0			Large blackbird with a long tail that looked tilted and wedge-like. Bigger than a BRBL.	
URN:CornellLabOfOrnithology:EBIRD:OBS691778259	2018-12-31 18:55:23.0	30721	species	Black-throated Sparrow	Amphispiza bilineata			X				United States	US	Idaho	US-ID	Ada	US-ID-001		9			Initial Point	L1351864	H	43.372	-116.3941	1985-06-16		obsr269548	S51136138	Historical	P62	EBIRD					0		0	0	0			No details. From my life list records. A well known location for this specie.	
URN:CornellLabOfOrnithology:EBIRD:OBS691656815	2018-12-31 14:17:39.0	30903	species	Harris's Sparrow	Zonotrichia querula			X				United States	US	Idaho	US-ID	Ada	US-ID-001		9			Boise	L143030	T	43.6134911	-116.203949	1985-11-09		obsr269548	S51125358	Historical	P62	EBIRD					0		0	0	0		Specific Location not Recorded (Life List Record)	No details to offer. This is a life list record. I had a single individual for 2-3 years in my yard in the Highlands area.	
URN:CornellLabOfOrnithology:EBIRD:OBS693082503	2019-01-09 02:08:15.0	15724	species	Say's Phoebe	Sayornis saya			3	S 	C2		United States	US	Idaho	US-ID	Ada	US-ID-001		9			Swan Falls Dam, below dam	L4548014	H	43.2447025	-116.3783455	2002-03-26		obsr980756	S51249879	Historical	P62	EBIRD		3.219			1		0	0	0		In the 60s mostly clear light and calm. Probably a couple hours.	These were very active noisy, setting up territories. This is very good habitat for Say's Phoebes.	
URN:CornellLabOfOrnithology:EBIRD:OBS693162947	2019-01-05 12:24:19.0	7130	species	Green Heron	Butorides virescens			1				United States	US	Idaho	US-ID	Ada	US-ID-001		9			Kathryn Albertson Park	L212900	H	43.614321	-116.2247446	2002-11-10	03:40:00	obsr980756	S51257164	Historical	P62	EBIRD	40	3.219			0		0	0	0			My notes say one flushed from pond near the south slope. We kicked it up a second time. This is a bird I am very familiar with, having seen it dozens of times in Oregon, California etc.	
URN:CornellLabOfOrnithology:EBIRD:OBS631242215	2019-01-06 21:38:15.0	27581	species	Western Bluebird	Sialia mexicana			10				United States	US	Idaho	US-ID	Ada	US-ID-001		9			Boise--E. Barber Road west of Harris Ranch	L7574154	P	43.5783468	-116.1245871	2008-03-12	13:00:00	obsr216968	S46561995	Historical	P62	EBIRD	45			1	0		0	0	0		Birded along E. Barber Rd. west of Harris Ranch off Warm Springs Avenue in Boise (ADA County). Temp. 49 F, Light breeze, sunny skies.  Yellow Marmots out cavorting about.	Small flock of both genders present, hunting insects along fence line.  Excellent views for full 45 minutes. Fly catching and dropping down on the ground at the base of the foothills to catch their prey. I saw one brightly colored male land on a fence post with a wriggling caterpillar, which he bashed and then swallowed.	
URN:CornellLabOfOrnithology:EBIRD:OBS695987141	2019-01-08 17:21:31.0	30802	species	American Tree Sparrow	Spizelloides arborea			1				United States	US	Idaho	US-ID	Ada	US-ID-001	US-ID_539	9			Lucky Peak SP--Discovery Unit	L251918	H	43.5252151	-116.0651493	2008-10-01		obsr216968	S51475835	Historical	P62	EBIRD				1	0		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS602822688	2019-01-07 12:58:30.0	7953	species	Red-tailed Hawk	Buteo jamaicensis			1				United States	US	Idaho	US-ID	Ada	US-ID-001	US-ID_539	9			Boise River Greenbelt at Veterans Parkway	L1092569	H	43.6367895	-116.2430978	2016-01-18	10:00:00	obsr123102	S44772190	Historical	P62	EBIRD	120			2	1		1	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS678928279	2018-11-22 00:04:09.0	5930	species	Spotted Sandpiper	Actitis macularius			X				United States	US	Idaho	US-ID	Ada	US-ID-001	US-ID_536	9			Blacks Creek Bird Reserve	L249812	H	43.4584433	-116.1426544	2018-03-10		obsr1192995	S50118568	Historical	P62	EBIRD					0		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS679169467	2018-11-22 16:55:50.0	30697	species	Chipping Sparrow	Spizella passerina			1				United States	US	Idaho	US-ID	Ada	US-ID-001	US-ID_539	9			Boise State Intermountain Bird Observatory Riverside Study Site	L2934441	H	43.5427738	-116.0973144	2018-06-06		obsr1192995	S50136226	Historical	P62	EBIRD					0		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS679169466	2018-11-22 16:55:50.0	31681	species	MacGillivray's Warbler	Geothlypis tolmiei			X				United States	US	Idaho	US-ID	Ada	US-ID-001	US-ID_539	9			Boise State Intermountain Bird Observatory Riverside Study Site	L2934441	H	43.5427738	-116.0973144	2018-06-06		obsr1192995	S50136226	Historical	P62	EBIRD					0		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS691326659	2018-12-30 18:26:21.0	239	species	Snow Goose	Anser caerulescens			1				United States	US	Idaho	US-ID	Ada	US-ID-001		9			Swan Falls Park	L829793	H	43.2432645	-116.377058	2018-06-22	08:41:00	obsr90307	S51100115	Traveling	P22	EBIRD	60	1.609		2	1		1	0	0		Walked across the dam and around the park.	1 adult, all white goose, wrong shape and size for a domestic. Pink legs and pink bill.  It was with a group of Canada Geese. Cell phone was all we had to take the photo.	
URN:CornellLabOfOrnithology:EBIRD:OBS690551815	2018-12-28 22:16:25.0	239	species	Snow Goose	Anser caerulescens			1				United States	US	Idaho	US-ID	Ada	US-ID-001		9			Swan Falls Dam	L8312693	P	43.2434508	-116.3788545	2018-07-10	17:30:00	obsr303169	S51010664	Traveling	P22	EBIRD	30	0.402		2	1		1	0	0			one snow goose resting on land	
URN:CornellLabOfOrnithology:EBIRD:OBS679171745	2018-11-22 17:08:34.0	5933	species	Solitary Sandpiper	Tringa solitaria			1				United States	US	Idaho	US-ID	Ada	US-ID-001	US-ID_539	9			Barber Dam Trail	L8173161	P	43.563072	-116.1295652	2018-07-01		obsr1192995	S50136423	Historical	P62	EBIRD					0		0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS679174168	2018-12-01 20:27:20.0	31984	species	Wilson's Warbler	Cardellina pusilla			1				United States	US	Idaho	US-ID	Ada	US-ID-001	US-ID_539	9			Dallas Harris Memorial Pathway	L4163494	H	43.5692913	-116.1340928	2018-07-19		obsr1192995	S50136626	Historical	P62	EBIRD					0		0	0	0			Male bird, identified by black cap and otherwise plain yellow/olive.	
